This file was created by CMPT_BETA_RETS using the 202112 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BETA.

The portfolios are constructed at the end of June. Beta is estimated using monthly returns for the past 60 months
 (requiring at least 24 months with non-missing returns). Beta is estimated using the Scholes-Williams method.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196911,   -3.68,   -2.71,   -2.42,   -3.14,   -5.23,   -3.61,   -3.79,   -2.72,   -2.68,   -1.84,   -3.16,   -1.79,   -5.26,   -4.05,   -6.38
196912,   -1.52,   -0.85,   -2.64,   -3.56,   -5.08,   -2.33,   -0.32,   -1.06,   -0.38,   -1.93,   -3.56,   -3.37,   -3.88,   -4.82,   -5.33
197001,   -6.47,   -7.26,   -8.24,   -8.76,  -10.27,   -5.88,   -7.34,   -7.10,   -7.62,   -8.25,   -8.24,   -7.57,  -10.70,  -10.64,   -9.89
197002,    6.49,    5.00,    5.75,    6.04,    5.27,    6.06,    7.13,    4.29,    6.55,    5.03,    6.71,    4.32,    8.95,    5.96,    4.59
197003,    0.78,   -0.04,    0.53,   -1.83,   -4.45,    1.66,   -0.50,    0.75,   -1.74,    0.22,    0.93,   -1.72,   -2.01,   -3.94,   -4.96
197004,   -8.05,   -8.88,  -11.45,  -12.40,  -19.38,   -8.10,   -7.97,   -8.81,   -9.02,  -11.99,  -10.75,  -11.38,  -14.05,  -16.54,  -22.29
197005,   -3.43,   -6.22,   -8.88,  -10.00,  -10.03,   -1.41,   -6.47,   -5.98,   -6.75,   -9.86,   -7.62,  -10.44,   -9.26,   -9.26,  -10.86
197006,   -4.00,   -4.76,   -5.57,   -8.57,   -9.41,   -5.08,   -2.30,   -5.01,   -4.22,   -7.74,   -2.87,   -8.87,   -8.08,   -7.40,  -11.64
197007,    7.84,    6.26,    8.21,    9.68,    7.10,    9.21,    6.33,    7.93,    4.28,   10.33,    6.00,    9.49,    9.95,    7.84,    6.28
197008,    3.73,    5.55,    5.24,    8.13,    9.84,    3.83,    3.62,    5.59,    5.51,    3.75,    6.85,    6.88,    9.82,    8.46,   11.41
197009,    1.57,    4.23,    6.31,    8.66,   17.02,    0.03,    3.31,    2.47,    6.38,    3.66,    9.07,    8.09,    9.39,   14.43,   19.90
197010,    0.33,   -0.82,   -3.12,   -6.01,   -9.38,    0.24,    0.43,   -1.35,   -0.20,   -2.00,   -4.22,   -5.09,   -7.19,   -7.32,  -11.57
197011,    5.84,    5.11,    4.98,    4.74,    1.91,    6.58,    5.04,    5.70,    4.43,    5.76,    4.19,    4.09,    5.58,    1.45,    2.42
197012,    5.26,    6.35,    6.98,    7.91,    6.84,    4.43,    6.17,    6.67,    5.97,    8.10,    5.82,    7.19,    8.83,    7.61,    5.98
197101,    3.01,    4.05,    7.44,   10.51,   12.92,    3.82,    2.14,    4.11,    3.98,    5.71,    9.24,   10.17,   10.95,   13.21,   12.61
197102,    0.77,    2.10,    2.32,    1.94,    3.09,   -0.19,    1.82,    1.45,    2.87,    2.55,    2.09,    1.81,    2.11,    1.98,    4.35
197103,    2.87,    4.42,    5.15,    5.56,    7.78,    2.24,    3.56,    3.52,    5.45,    3.21,    7.11,    3.94,    7.56,    7.66,    7.92
197104,    2.19,    4.05,    5.06,    6.29,    5.05,    0.94,    3.51,    5.58,    2.30,    5.20,    4.91,    5.71,    6.99,    6.68,    3.26
